district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_30_vaccination,30_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
298,17,Kollam,11,7,4,2450,2050,400,513247,232792,280372,83,,,192733,262383,633028,45835,513247,165616,138
124,7,Kondagaon,34,33,1,5880,5780,100,114874,52605,62255,14,,,75280,29523,131258,4044,114874,20428,11
282,16,Koppal,236,234,2,24640,24440,200,217205,98234,118935,36,,,105423,92081,230429,40475,217205,53699,102
451,26,Koraput,53,53,0,19500,19500,0,221225,105048,116128,49,,,88433,102519,275804,1,221225,54580,4
125,7,Korba,119,117,2,22962,22762,200,278471,135012,143433,26,,,168838,91467,319591,5725,278471,46845,23
126,7,Koriya,49,49,0,14420,14420,0,111219,55124,56087,8,,,62271,38461,127912,3228,111219,19921,14
503,29,Kota,43,43,0,6480,6480,0,480192,258698,221415,79,,,198078,153553,536309,35767,480192,91884,12
304,17,Kottayam,19,19,0,3310,3310,0,439898,196359,243480,59,,,162306,233371,523442,35659,439898,119203,175
780,31,Kovilpatti,35,32,3,7700,7400,300,40821,20272,20544,5,,,17906,14407,47735,5268,40821,12182,2
305,17,Kozhikode,24,17,7,2009,919,1090,581959,274423,307452,84,,,240549,275310,706651,51878,581959,176570,184
27,3,Kra Daadi,3,3,0,400,400,0,2642,1391,1251,0,,,921,470,3362,0,2642,720,1
4,2,Krishna,90,88,2,41820,41370,450,620183,325179,294925,79,,,319472,195692,643598,210509,620183,233924,32
562,31,Krishnagiri,86,86,0,9310,9310,0,137682,75647,62015,20,,,74337,36622,156129,22082,137682,40529,0
221,14,Kulgam,62,62,0,13505,13505,0,91218,52602,38600,16,,,49356,34353,103169,0,91218,11951,0
211,13,Kullu,11,11,0,1100,1100,0,115858,58339,57506,13,,,62430,42487,144122,0,115858,28264,4
591,32,Kumuram Bheem,34,34,0,4010,4010,0,41920,21109,20800,11,,,23177,14293,41709,7209,41920,6998,7
226,14,Kupwara,17,17,0,4100,4100,0,84052,52768,31275,9,,,44270,27126,101603,0,84052,17551,4
7,2,Kurnool,117,117,0,60500,60500,0,406296,201842,204411,43,,,193498,152622,475639,100397,406296,169740,12
186,12,Kurukshetra,46,45,1,7280,7180,100,161600,84058,77523,19,,,60538,70251,171978,17472,161600,27850,13
21,3,Kurung Kumey,3,3,0,300,300,0,4288,2006,2220,62,,,1438,948,6230,0,4288,1942,4
667,34,Kushinagar,42,41,1,8605,8505,100,183528,104114,79390,24,,,88076,79233,201376,29696,183528,47544,12
170,11,Kutch,73,73,0,10600,10600,0,330814,181234,149548,32,,,140441,115508,414578,33615,330814,117379,14
210,13,Lahaul Spiti,1,1,0,100,100,0,9154,4655,4497,2,,,4818,3255,12504,0,9154,3350,0
63,4,Lakhimpur,7,7,0,1450,1450,0,94060,49403,44650,7,,,45147,26667,109616,12124,94060,27680,6
668,34,Lakhimpur Kheri,104,103,1,23660,23560,100,160254,92603,67630,21,,,78981,61136,173682,26433,160254,39861,5
84,5,Lakhisarai,31,31,0,5510,5510,0,63241,34433,28796,12,,,19579,25147,76171,0,63241,12930,0
311,19,Lakshadweep,11,11,0,2840,2840,0,24395,13681,10712,2,,,12593,7163,31330,0,24395,6935,0
669,34,Lalitpur,67,65,2,11127,10927,200,68797,37552,31236,9,,,31956,30946,73916,9461,68797,14580,4
244,15,Latehar,31,31,0,4925,4925,0,70614,39241,31357,16,,,23583,24871,78956,5434,70614,13776,2
383,21,Latur,101,95,6,14545,13945,600,296970,164134,132795,41,,,114244,126022,311975,57733,296970,72738,20
432,24,Lawngtlai,1,1,0,100,100,0,14414,7786,6626,2,,,6697,3892,17260,0,14414,2846,39
310,18,Leh,6,6,0,1200,1200,0,57599,31301,26293,5,,,19382,18036,80291,0,57599,22692,0
33,3,Lepa Rada,2,2,0,200,200,0,5361,2932,2429,0,,,2491,1262,7875,0,5361,2514,0
250,15,Lohardaga,13,13,0,1950,1950,0,56433,27916,28500,17,,,24014,20142,53997,12151,56433,9715,6
29,3,Lohit,3,3,0,300,300,0,8224,5025,3196,3,,,4120,1366,10228,0,8224,2004,37
40,3,Longding,4,4,0,700,700,0,5084,3534,1550,0,,,1589,494,6743,0,5084,1659,21
438,25,Longleng,6,6,0,600,600,0,7911,4319,3591,1,,,3554,1873,10037,0,7911,2126,1
31,3,Lower Dibang Valley,8,8,0,3100,3100,0,9725,5312,4412,1,,,4725,1830,12286,0,9725,2561,16
18,3,Lower Siang,1,1,0,500,500,0,4991,2652,2339,0,,,2762,1088,6079,0,4991,1088,0
32,3,Lower Subansiri,7,7,0,700,700,0,9920,4961,4957,2,,,4576,2085,13979,0,9920,4059,39
670,34,Lucknow,123,116,7,30860,30010,850,652579,377014,275405,160,,,246109,174078,721820,118311,652579,187552,25
488,28,Ludhiana,148,145,3,63906,61980,1926,537099,317013,220022,64,,,252947,180553,614823,52809,537099,130533,11
431,24,Lunglei,7,7,0,1250,1250,0,33670,17881,15788,1,,,16752,11124,41370,0,33670,7700,106
70,5,Madhepura,35,35,0,6960,6960,0,155939,85295,70615,29,,,52371,66118,183273,0,155939,27334,12
95,5,Madhubani,105,104,1,29290,29190,100,333773,175172,158544,57,,,98874,153798,410800,0,333773,77027,7
540,31,Madurai,92,75,17,16330,13520,2810,217136,114941,102164,31,,,93127,79762,261374,34800,217136,79038,1
592,32,Mahabubabad,23,23,0,4360,4360,0,91247,42727,48450,70,,,44674,40797,94882,21222,91247,24857,18
593,32,Mahabubnagar,36,29,7,12200,11500,700,93602,44843,48740,19,,,53529,31062,98848,17447,93602,22693,6
671,34,Maharajganj,51,51,0,10800,10800,0,140445,77829,62597,19,,,65678,58356,158678,19181,140445,37414,14
127,7,Mahasamund,10,10,0,1325,1325,0,247342,116308,131000,34,,,132375,104585,304927,4716,247342,62301,15
477,27,Mahe,2,2,0,210,210,0,15077,6799,8278,0,,,6918,5909,18907,0,15077,3830,2
206,12,Mahendragarh,31,31,0,6215,6215,0,170648,88326,82294,28,,,55640,77504,182618,17285,170648,29255,4
183,11,Mahisagar,35,35,0,3970,3970,0,256671,130552,126070,49,,,122517,118896,312880,28102,256671,84311,4
672,34,Mahoba,58,58,0,12477,12477,0,91085,47946,43125,14,,,44390,42773,103308,5503,91085,17726,6
673,34,Mainpuri,75,73,2,10520,10320,200,101172,55412,45744,16,,,45971,44998,108369,16066,101172,23263,22
767,4,Majuli,5,5,0,400,400,0,32942,17568,15370,4,,,17808,8689,38104,4568,32942,9730,0
302,17,Malappuram,54,50,4,3591,3191,400,538289,264904,273313,72,,,242584,235273,625480,40949,538289,128140,114
726,36,Malda,56,56,0,9609,9609,0,327498,179383,148045,70,,,150812,105226,351832,82054,327498,106388,8
469,26,Malkangiri,10,10,0,3150,3150,0,71275,35430,35829,16,,,29613,30910,90735,0,71275,19460,17
427,24,Mamit,4,4,0,620,620,0,16390,9101,7289,0,,,8316,5204,20321,0,16390,3931,285
594,32,Mancherial,33,30,3,6150,5850,300,82250,42026,40209,15,,,43861,30192,90146,7526,82250,15422,20
215,13,Mandi,65,65,0,7240,7240,0,300297,140461,159782,54,,,148102,127016,373796,0,300297,73499,276
335,20,Mandla,46,46,0,4600,4600,0,95065,47690,47367,8,,,39819,37848,102495,10431,95065,17861,6
319,20,Mandsaur,0,0,0,0,0,0,118726,64213,54495,18,,,55839,44946,131439,12167,118726,24880,2
290,16,Mandya,61,59,2,6009,5809,200,294517,135833,158635,49,,,133349,134973,342281,29866,294517,77630,43
482,28,Mansa,95,94,1,25300,25200,100,55315,33398,21912,5,,,21185,16588,56569,6327,55315,7581,1
674,34,Mathura,85,80,5,17830,17330,500,233132,136724,96358,50,,,93489,75857,241143,41386,233132,49397,76
675,34,Mau,53,52,1,11445,11345,100,105708,59987,45701,20,,,49011,41561,122844,16716,105708,33852,8
456,26,Mayurbhanj,6,6,0,600,600,0,256081,128192,127867,22,,,123465,111059,322115,0,256081,66034,3
595,32,Medak,13,13,0,1350,1350,0,103608,50077,53492,39,,,61627,35872,107025,13845,103608,17262,4
596,32,Medchal,96,80,16,18250,16100,2150,378890,203938,174903,49,,,197408,142122,433831,73495,378890,128436,31
676,34,Meerut,118,104,14,19330,17930,1400,431078,239155,191839,84,,,185847,130037,456562,66327,431078,91811,7
160,11,Mehsana,120,117,3,16150,15850,300,439008,225067,213912,29,,,181627,177829,507677,84747,439008,153416,8
677,34,Mirzapur,75,75,0,14180,14180,0,186398,104893,81473,32,,,73393,69141,201224,26667,186398,41493,7
491,28,Moga,87,87,0,17564,17564,0,82098,45941,36149,8,,,37164,32999,93123,5974,82098,16999,1
437,25,Mokokchung,10,10,0,1100,1100,0,25172,13008,12162,2,,,10321,8886,29669,0,25172,4497,1
439,25,Mon,4,4,0,370,370,0,22739,13314,9424,1,,,10344,5954,26282,0,22739,3543,3
678,34,Moradabad,72,67,5,11950,11450,500,226045,128260,97725,60,,,87340,57436,235843,41189,226045,50987,48
171,11,Morbi,21,21,0,3865,3865,0,124469,65332,59121,16,,,58353,54633,149468,24843,124469,49842,1
347,20,Morena,2,2,0,200,200,0,162109,91377,70708,24,,,65549,66329,166889,23592,162109,28372,6
55,4,Morigaon,43,43,0,8900,8900,0,75613,38105,37497,11,,,36326,24564,85589,6956,75613,16932,0
612,32,Mulugu,16,16,0,1940,1940,0,53490,25767,27714,9,,,33425,16493,44119,16007,53490,6636,1
395,21,Mumbai,339,268,71,113446,29995,83451,2332849,1255386,1077113,350,,,1070511,854641,2852891,230761,2332849,750803,483
128,7,Mungeli,43,42,1,5220,5120,100,130275,62082,68187,6,,,74471,49769,144379,1903,130275,16007,14
85,5,Munger,44,42,2,6200,5900,300,113359,63908,49422,29,,,38858,42947,141559,1,113359,28201,7
727,36,Murshidabad,38,38,0,9230,9230,0,511850,264330,247471,49,,,233452,202257,622098,91288,511850,201536,39
679,34,Muzaffarnagar,74,69,5,22600,22000,600,169087,92652,76401,34,,,87639,67148,193874,23835,169087,48622,8
86,5,Muzaffarpur,120,119,1,19650,19550,100,345686,195015,150623,48,,,114413,121613,370023,33555,345686,57892,8
266,16,Mysore,306,298,8,34535,32665,1870,695083,330774,364206,103,,,348762,280202,796029,55540,695083,156486,58
470,26,Nabarangpur,27,27,0,8360,8360,0,129547,59016,70514,17,,,56224,53032,160455,0,129547,30908,6
728,36,Nadia,8,8,0,1200,1200,0,428263,234568,193650,45,,,180432,175984,540618,47312,428263,159667,17
56,4,Nagaon,67,67,0,7835,7835,0,158347,81051,77274,22,,,77526,46734,173998,23454,158347,39105,2
