district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
43,4,Dibrugarh,41,40,1,4446,4095,351,201033,107885,93123,25,68199,88063,44755,210532,28696,201033,38195,28
67,4,Dima Hasao,16,16,0,1863,1863,0,29832,17793,12031,8,10087,14094,5649,29807,9343,29832,9318,3
434,25,Dimapur,31,31,0,8785,8785,0,67839,40947,26885,7,28156,27299,12364,82390,0,67839,14551,4
556,31,Dindigul,8,8,0,856,856,0,103695,54998,48684,13,39498,39298,24881,112836,17912,103695,27053,1
336,20,Dindori,39,39,0,7230,7230,0,84256,41204,43040,12,22972,31194,30090,88859,7009,84256,11612,9
139,37,Diu,3,3,0,1130,1130,0,27123,13061,14055,7,15467,6652,4993,32654,0,27123,5531,1
232,14,Doda,37,37,0,8290,8290,0,91122,50447,40662,13,8856,47204,35058,114859,0,91122,23737,0
258,15,Dumka,54,54,0,16440,16440,0,153655,77642,75993,20,42850,56553,54202,155503,25171,153655,27019,1
520,29,Dungarpur,75,75,0,44850,44850,0,219794,106854,112897,43,37633,88518,93596,265800,8486,219794,54492,6
119,7,Durg,74,71,3,7072,6772,300,371470,188940,182490,40,36078,208869,126499,464693,12150,371470,105373,68
719,36,East Bardhaman,89,89,0,28815,28815,0,604806,338347,266405,54,125476,260314,218935,731003,63022,604806,189219,264
105,5,East Champaran,145,145,0,42880,42880,0,401503,232373,168952,178,124018,145056,132385,441129,17452,401503,57078,2
145,9,East Delhi,60,49,11,11252,6502,4750,293156,163133,129968,55,101200,116635,75191,309647,56612,293156,73103,125
424,23,East Garo Hills,16,16,0,2140,2140,0,16655,9174,7480,1,6026,8348,2278,21047,0,16655,4392,1
11,2,East Godavari,113,110,3,40016,39416,600,807959,427328,380522,109,122813,417049,267938,865750,196064,807959,253855,26
418,23,East Jaintia Hills,1,1,0,100,100,0,20589,12565,8021,3,9448,8114,3027,23319,0,20589,2730,17
23,3,East Kameng,3,3,0,470,470,0,10034,5225,4806,3,3590,5107,1336,11869,0,10034,1835,1
414,23,East Khasi Hills,52,52,0,2960,2960,0,119677,63882,55784,11,49088,49947,20634,142761,0,119677,23084,85
42,3,East Siang,10,10,0,2388,2388,0,21813,11236,10573,4,7840,9532,4437,30296,0,21813,8483,11
535,30,East Sikkim,8,8,0,795,795,0,93209,49620,43575,14,22588,45604,25009,122057,0,93209,28848,125
247,15,East Singhbhum,98,97,1,23700,22250,1450,374881,208922,165904,55,98076,164959,111705,372316,79970,374881,77405,16
307,17,Ernakulam,147,119,28,38541,23693,14848,913884,434271,479507,106,169197,331392,412696,1047647,112266,913884,246029,84
563,31,Erode,57,56,1,9920,9820,100,206487,115823,90633,31,70427,75828,60194,211634,43397,206487,48544,4
644,34,Etah,55,55,0,5920,5920,0,94594,54746,39831,17,14664,48061,31849,104124,11932,94594,21462,7
645,34,Etawah,45,45,0,5305,5305,0,109696,63821,45853,22,19148,50447,40025,128080,14234,109696,32618,27
199,12,Faridabad,61,50,11,29360,22470,6890,496447,285232,211126,89,167793,186651,140958,543236,52500,496447,99289,18
499,28,Faridkot,36,36,0,12150,12150,0,88906,48831,40054,21,17508,37123,34242,94403,12700,88906,18197,0
647,34,Farrukhabad,76,76,0,18740,18740,0,108924,64067,44830,27,15869,52822,40206,131295,16419,108924,38790,18
196,12,Fatehabad,22,22,0,4140,4140,0,145448,76671,68754,23,43973,49414,52013,147295,20633,145448,22480,45
484,28,Fatehgarh Sahib,41,41,0,8400,8400,0,55304,32284,23015,5,12681,24646,17970,58380,8209,55304,11285,0
648,34,Fatehpur,77,77,0,9960,9960,0,151137,85587,65525,25,18733,69118,63276,158387,34035,151137,41285,25
487,28,Fazilka,55,55,0,13200,13200,0,88641,51243,37391,7,19555,38295,30784,89479,15068,88641,15906,0
480,28,Ferozpur,91,91,0,8820,8820,0,88409,51279,37122,8,22236,37616,28548,95790,9945,88409,17326,1
649,34,Firozabad,54,54,0,7780,7780,0,199353,115554,83743,56,70940,78347,50040,213575,21153,199353,35375,5
280,16,Gadag,133,133,0,20469,20469,0,193111,95943,97135,33,33984,87038,72063,217295,33814,193111,57998,7
379,21,Gadchiroli,68,68,0,17720,17720,0,137606,75886,61704,16,36093,62028,39476,138204,35934,137606,36532,309
467,26,Gajapati,18,18,0,3810,3810,0,75972,35711,40247,14,10208,34909,30848,96832,0,75972,20860,2
228,14,Ganderbal,27,27,0,3110,3110,0,81219,47436,33772,11,9632,46917,24665,95298,0,81219,14079,5
153,11,Gandhinagar,43,40,3,9100,8050,1050,235570,123986,111552,32,42807,113285,79442,294228,28009,235570,86667,29
772,11,Gandhinagar Corporation,30,26,4,6730,5200,1530,165199,94528,70633,38,104571,35725,24882,189018,13420,165199,37239,3
449,26,Ganjam,74,74,0,13630,13630,0,680833,347749,332952,132,146408,274256,260098,815909,0,680833,135076,57
243,15,Garhwa,49,49,0,11720,11720,0,139142,77616,61498,28,48467,41413,49239,157126,7917,139142,25901,0
120,7,Gariaband,21,21,0,4180,4180,0,105811,49262,56539,10,6787,64066,34954,120100,1150,105811,15439,18
136,7,Gaurela Pendra Marwahi,9,9,0,900,900,0,68334,32141,36179,14,4042,41396,22892,75396,1561,68334,8623,1
650,34,Gautam Buddha Nagar,121,74,47,55190,21350,33840,654344,394769,259398,177,331855,197349,123808,697924,59964,654344,103544,14
79,5,Gaya,99,99,0,30797,30797,0,351478,194730,156678,70,121007,121772,108560,298368,147183,351478,94073,2
651,34,Ghaziabad,119,112,7,29110,23420,5690,570380,324471,245789,120,225476,216349,128331,600343,71303,570380,101266,5
652,34,Ghazipur,107,107,0,58700,58700,0,221973,124770,97167,36,27440,106716,87759,241420,28964,221973,48411,15
177,11,Gir Somnath,34,34,0,8600,8600,0,210399,114453,95857,89,32845,115691,61831,201353,75921,210399,66875,5
256,15,Giridih,39,38,1,8950,8850,100,216354,112433,103878,43,56445,71223,88610,230610,22558,216354,36814,5
60,4,Goalpara,25,25,0,4665,4665,0,83357,43684,39634,39,27725,38201,17428,94564,10451,83357,21658,10
262,15,Godda,53,53,0,9410,9410,0,124252,66501,57733,18,41197,41162,41822,138280,6274,124252,20302,4
53,4,Golaghat,14,14,0,1081,1081,0,108998,60261,48721,16,25865,54188,28942,120886,13962,108998,25850,6
615,33,Gomati,20,20,0,12760,12760,0,107145,55224,51909,12,10952,65852,30332,153876,14,107145,46745,2
653,34,Gonda,136,136,0,26372,26372,0,318187,189389,128705,93,85920,140329,91825,327551,40755,318187,50119,63
378,21,Gondia,96,96,0,13206,13206,0,237795,120650,117114,31,37873,121358,78543,194427,107890,237795,64522,14
104,5,Gopalganj,48,48,0,9731,9731,0,211943,120238,91683,22,54495,74994,82385,251882,0,211943,39939,3
654,34,Gorakhpur,109,106,3,21950,20270,1680,489036,283388,205512,136,194585,171454,122819,512442,71125,489036,94531,8
267,16,Gulbarga,166,166,0,29220,29220,0,285560,150963,134544,53,74114,131209,80199,316681,31301,285560,62422,6
251,15,Gumla,45,45,0,12629,12629,0,121938,57811,64112,15,30780,47354,43734,124705,14140,121938,16907,4
348,20,Guna,21,21,0,4590,4590,0,155416,88168,67232,16,44546,56887,53877,165314,17080,155416,26978,1
5,2,Guntur,97,93,4,18285,16135,2150,753622,396194,357338,90,139347,381358,232743,747255,229138,753622,222771,47
